LICENCE_NO,AREA_NAME,LW_FREQUENCY_START,LW_FREQUENCY_END,LW_BW,UP_FREQUENCY_START,UP_FREQUENCY_END,UP_BW,USAGE,LICENCE_CATEGORY_NAME
10232073,Southern New South Wales/Riverina (Albury),1770.0,1780.0,10.0,1865.0,1875.0,10.0,20.0,1800 MHz Band
10232073,Darwin,1775.0,1785.0,10.0,1870.0,1880.0,10.0,20.0,1800 MHz Band
10232073,Western New South Wales (Dubbo),1780.0,1785.0,5.0,1875.0,1880.0,5.0,10.0,1800 MHz Band
10232073,Canberra (including south coast of NSW),1750.0,1760.0,10.0,1845.0,1855.0,10.0,20.0,1800 MHz Band
10235466,North Queensland (Cairns/Townsville),1775.0,1785.0,10.0,1870.0,1880.0,10.0,20.0,1800 MHz Band
10235466,South Queensland (Maryborough),1770.0,1775.0,5.0,1865.0,1870.0,5.0,10.0,1800 MHz Band
10235466,Canberra (including south coast of NSW),1735.0,1750.0,15.0,1830.0,1845.0,15.0,30.0,1800 MHz Band
10235466,Canberra (including south coast of NSW),1780.0,1785.0,5.0,1875.0,1880.0,5.0,10.0,1800 MHz Band
10235466,Regional Victoria,1775.0,1785.0,10.0,1870.0,1880.0,10.0,20.0,1800 MHz Band
10235466,Regional Western Australia,1770.0,1780.0,10.0,1865.0,1875.0,10.0,20.0,1800 MHz Band
10388332,Central Australia,2337.0,2365.0,28.0,,,,,2.3 GHz Band
10388332,Gold Fields,2337.0,2365.0,28.0,,,,,2.3 GHz Band
10388332,Kimberley,2365.0,2400.0,35.0,,,,,2.3 GHz Band
10388332,Midwest RQZ,2337.0,2365.0,28.0,,,,,2.3 GHz Band
10388332,Telfer Mine,2302.0,2400.0,98.0,,,,,2.3 GHz Band
10388334,Canberra A,3542.5,3547.0,4.5,,,,,3.4 GHz Band
10388334,Brisbane B,3542.5,3575.0,32.5,,,,,3.4 GHz Band
10388334,Rockhampton,3542.5,3547.0,4.5,,,,,3.4 GHz Band
10388334,Toowoomba,3542.5,3547.0,4.5,,,,,3.4 GHz Band
10388433,Adelaide,1930.0,1935.0,5.0,2120.0,2125.0,5.0,10.0,2 GHz Band
10388433,Canberra B,1920.0,1930.0,10.0,2110.0,2120.0,10.0,20.0,2 GHz Band
10388433,Brisbane A,1930.0,1935.0,5.0,2120.0,2125.0,5.0,10.0,2 GHz Band
10388433,Perth,1930.0,1935.0,5.0,2120.0,2125.0,5.0,10.0,2 GHz Band
10388433,Canberra A,1930.0,1935.0,5.0,2120.0,2125.0,5.0,10.0,2 GHz Band
10388433,Darwin,1930.0,1935.0,5.0,2120.0,2125.0,5.0,10.0,2 GHz Band
10388433,Hobart,1930.0,1935.0,5.0,2120.0,2125.0,5.0,10.0,2 GHz Band
