LICENCE_NO,AREA_NAME,LW_FREQUENCY_START,LW_FREQUENCY_END,LW_BW,UP_FREQUENCY_START,UP_FREQUENCY_END,UP_BW,USAGE,LICENCE_CATEGORY_NAME
9469858,Area 1,703.0,713.0,10.0,758.0,768.0,10.0,20.0,700 MHz Band
9469862,Area 1,713.0,733.0,20.0,768.0,788.0,20.0,40.0,700 MHz Band
9469864,Area 1,2550.0,2570.0,20.0,2670.0,2690.0,20.0,40.0,2.5 GHz Band
9469870,Area 1,2550.0,2570.0,20.0,2670.0,2690.0,20.0,40.0,2.5 GHz Band
9469871,Area 1,2510.0,2550.0,40.0,2630.0,2670.0,40.0,80.0,2.5 GHz Band
9469878,Area 1,2510.0,2550.0,40.0,2630.0,2670.0,40.0,80.0,2.5 GHz Band
9599659,2.3 GHz Band,2365.0,2400.0,35.0,,,,,2.3 GHz Band
9599659,2.3 GHz Band,2302.0,2337.0,35.0,,,,,2.3 GHz Band
9599659,2.3 GHz Band,2365.0,2400.0,35.0,,,,,2.3 GHz Band
9599659,2.3 GHz Band,2302.0,2337.0,35.0,,,,,2.3 GHz Band
9599659,2.3 GHz Band,2365.0,2400.0,35.0,,,,,2.3 GHz Band
9599659,2.3 GHz Band,2365.0,2400.0,35.0,,,,,2.3 GHz Band
9599659,2.3 GHz Band,2302.0,2337.0,35.0,,,,,2.3 GHz Band
9619844,Sydney,1740.0,1755.0,15.0,1835.0,1850.0,15.0,30.0,1800 MHz Band
9619844,Merge: Brisbane + Merge: Adelaide + Perth,1745.0,1755.0,10.0,1840.0,1850.0,10.0,20.0,1800 MHz Band
9619844,Melbourne,1740.0,1755.0,15.0,1835.0,1850.0,15.0,30.0,1800 MHz Band
