Frequency,Sector,Product name
3.76 - 3.8 GHz,Mobile and Wireless broadband,Spectrum Access Telefonica
3.8 - 4.2 GHz,Mobile and Wireless broadband,Shared Access (Low Power)
3.8 - 4.2 GHz,Mobile and Wireless broadband,Shared Access (Medium Power)
3.925 - 4.009 GHz,Mobile and Wireless broadband,Spectrum Access UK Broadband
5.725 - 5.85 GHz,Mobile and Wireless broadband,Fixed Wireless Access (5.8 GHz band)
24.25 - 26.5 GHz,Mobile and Wireless broadband,Shared Access (Low Power)
29.2005 - 29.3125 GHz,Mobile and Wireless broadband,Spectrum Access Arqiva (Downlink)
31.815 - 32.067 GHz,Mobile and Wireless broadband,Spectrum Access EE (Uplink)
32.319 - 32.445 GHz,Mobile and Wireless broadband,Spectrum Access British Telecom (Uplink)
32.627 - 32.879 GHz,Mobile and Wireless broadband,Spectrum Access EE (Downlink)
33.131 - 33.257 GHz,Mobile and Wireless broadband,Spectrum Access British Telecom (Downlink)
41 - 42 GHz,Mobile and Wireless broadband,Spectrum Access UK Broadband (Uplink)
42.5 - 43.5 GHz,Mobile and Wireless broadband,Spectrum Access UK Broadband (Downlink)
57 - 71 GHz,Mobile and Wireless broadband,Spectrum Access (EHF)
116 - 122 GHz,Mobile and Wireless broadband,Spectrum Access (EHF)
174.8 - 182 GHz,Mobile and Wireless broadband,Spectrum Access (EHF)
