,LICENCE_NO,AREA_NAME,LW_FREQUENCY_START,LW_FREQUENCY_END,UP_FREQUENCY_START,UP_FREQUENCY_END
95,10424532,NSW EAST,2393.0,2400.0,,
96,10424532,Melbourne,2393.0,2400.0,,
97,10424532,Outer ACT 2,2302.0,2330.0,,
98,10424532,Outer ACT 3,2302.0,2330.0,,
99,10427561,Tasmania,1750.0,1755.0,1845.0,1850.0
100,10427561,Mackay,1775.0,1785.0,1870.0,1880.0
101,10427561,Dubbo,1775.0,1780.0,1870.0,1875.0
102,10435053,Perth,1710.0,1730.0,1805.0,1825.0
103,10435053,Regional Western Australia,1710.0,1750.0,1805.0,1845.0
104,10435053,Tasmania,1710.0,1745.0,1805.0,1840.0
105,10435053,ACT and South Coast NSW,1710.0,1730.0,1805.0,1825.0
106,10435053,Darwin,1710.0,1745.0,1805.0,1840.0
107,10435053,Adelaide,1710.0,1730.0,1805.0,1825.0
108,10435053,Merge: North East and South Central NSW + Merge: South Queensland + North and Central Queensland,1710.0,1750.0,1805.0,1845.0
109,10435053,Regional South Australia,1710.0,1750.0,1805.0,1845.0
110,10435053,Regional Victoria,1710.0,1745.0,1805.0,1840.0
111,10435053,Sydney,1710.0,1725.0,1805.0,1820.0
112,10435053,Melbourne,1710.0,1725.0,1805.0,1820.0
113,10435053,Brisbane,1710.0,1730.0,1805.0,1825.0
114,10498938,Adelaide Rim NE,3542.5,3575.0,,
115,10498938,Adelaide Rim S,3542.5,3575.0,,
116,10498938,Launceston,3542.5,3575.0,,
117,10498938,Hobart,3542.5,3575.0,,
118,10498938,Perth,3542.5,3575.0,,
119,10498938,Cairns,3542.5,3575.0,,
120,10498938,Canberra,3547.0,3575.0,,
121,10498938,Toowoomba,3547.0,3575.0,,
122,10498938,Rockhampton,3547.0,3575.0,,
123,10498938,Ballarat-Bendigo,3542.5,3575.0,,
124,10498938,Wodonga,3542.5,3575.0,,
125,10498938,Townsville,3542.5,3575.0,,
126,10498938,Adelaide,3547.0,3575.0,,
127,10914942,Perth - lower/upper,3575.0,3605.0,,
128,10914942,Sydney,3575.0,3635.0,,
129,10914942,Melbourne,3575.0,3635.0,,
130,10914942,Adelaide,3575.0,3610.0,,
131,10914942,Canberra,3575.0,3605.0,,
132,10914942,Regional Southern/Western NSW,3575.0,3640.0,,
133,10914942,Brisbane,3575.0,3605.0,,
134,10914942,Regional Western Australia,3575.0,3655.0,,
135,10914942,Merge: Regional Northern NSW/Southern Queensland + Merge: North Queensland + Central Queensland,3575.0,3625.0,,
136,10914942,Merge: Regional Victoria + Tasmania,3575.0,3625.0,,
137,10914942,Regional South Australia,3575.0,3650.0,,
138,10917462,Merge: Regional Southern/Western NSW + Regional South Australia,3670.0,3700.0,,
139,10917462,Merge: Regional Victoria + Tasmania,3665.0,3700.0,,
140,10917462,Merge: Regional Northern NSW/Southern Queensland + Merge: North Queensland + Central Queensland,3665.0,3700.0,,
141,10917463,Perth - lower/upper,3605.0,3640.0,,
142,10917463,Sydney,3635.0,3640.0,,
143,10917463,Melbourne,3695.0,3700.0,,
144,10917463,Brisbane,3665.0,3700.0,,
145,10917463,Adelaide,3670.0,3700.0,,
146,10917463,Canberra,3605.0,3640.0,,
147,10917464,Brisbane,3605.0,3665.0,,
148,10917464,Canberra,3640.0,3700.0,,
149,10917464,Melbourne,3635.0,3695.0,,
150,10917464,Sydney,3640.0,3700.0,,
151,10917464,Perth - lower/upper,3640.0,3700.0,,
152,10917464,Adelaide,3610.0,3670.0,,
153,10917464,Regional South Australia,3650.0,3670.0,,
154,10917464,Regional Western Australia,3655.0,3700.0,,
155,10917464,Merge: Regional Northern NSW/Southern Queensland + Merge: North Queensland + Central Queensland,3625.0,3665.0,,
156,10917464,Merge: Regional Victoria + Tasmania,3625.0,3665.0,,
157,10917464,Regional Southern/Western NSW,3640.0,3670.0,,
158,11181369,Market area,25000.0,25100.0,,
159,11181789,Market area,27500.0,28100.0,,
160,11181789,Hole area,27500.0,30000.0,,
161,11181790,Area,27500.0,28100.0,,
162,11181790,Market area,27500.0,29500.0,,
163,11181846,Hamel WA,27500.0,28500.0,,
164,11181847,Bourke NSW ,27500.0,28500.0,,
165,11181848,Gaveston TAS,27500.0,28500.0,,
166,11181849,Ceduna SA ,27500.0,28500.0,,
167,11181851,Kalgoorlie WA,27500.0,28500.0,,
168,11181852,Carnarvon WA,27500.0,28500.0,,
169,11181853,Roma Qld,27500.0,28500.0,,
170,11181860,Geraldton WA,27500.0,28500.0,,
171,11181862,Broken Hill NSW ,27500.0,28500.0,,
172,11186362,Market area,27500.0,28500.0,,
173,11187237,Market area 1,27600.0,28100.0,,
174,11187237,Market area ,27600.0,28400.0,,
175,11187237,Market area ,28600.0,29100.0,,
176,11189712,Market area,27500.0,27515.0,,
177,11190450,Market area 1,27500.0,30000.0,,
178,11190520,Market area 2,27500.0,30000.0,,
179,11190524,Market area 3,27500.0,30000.0,,
180,11190528,Market area 4,27500.0,30000.0,,
181,11190536,Market area 6,27500.0,30000.0,,
182,11190543,Market area 8,27500.0,30000.0,,
183,11192681,Market area,27500.0,28100.0,,
184,11192681,Hole area,27500.0,29500.0,,
185,11193287,Market area 1,27500.0,30000.0,,
186,11193288,Market area 2,27500.0,30000.0,,
187,11193289,Market area 3,27500.0,30000.0,,
188,11193290,Market area 4,27500.0,30000.0,,
189,11193291,Market area 5,27500.0,30000.0,,
190,11193292,Market area 6,27500.0,30000.0,,
191,11196476,MA 1,27500.0,30000.0,,
192,11196484,MA 2,27500.0,30000.0,,
193,11196485,MA 3,27500.0,30000.0,,
194,11196513,Market area 1,27500.0,30000.0,,
195,11196514,Market area 6,27500.0,30000.0,,
196,11196515,Market area 7,27500.0,30000.0,,
197,11196516,Market area 8,27500.0,30000.0,,
198,11196517,Market area 14,27500.0,30000.0,,
199,11196518,Market area 18,27500.0,30000.0,,
200,11196519,Market area 20,27500.0,30000.0,,
201,11196520,Market area 21,27500.0,30000.0,,
202,11196521,Market area,27500.0,28100.0,,
203,11196521,Hole area,27500.0,30000.0,,
204,11196522,Market area 1,27500.0,28100.0,,
205,11196522,Hole area,27500.0,30000.0,,
206,11196523,Market area,27500.0,28100.0,,
207,11196523,Hole area,27500.0,30000.0,,
208,11196524,Market area ,27500.0,28100.0,,
209,11196524,Hole area,27500.0,30000.0,,
210,11196525,Market area,27500.0,28100.0,,
211,11196525,Hole area,27500.0,30000.0,,
212,11196526,Market area ,27500.0,28100.0,,
213,11196526,Hole area,27500.0,30000.0,,
214,11196527,Market area ,27500.0,28100.0,,
215,11196527,Market area,27500.0,30000.0,,
216,11196528,Market area,27500.0,28100.0,,
217,11196528,Hole area,27500.0,30000.0,,
218,11196529,Market area,27500.0,28100.0,,
219,11196529,Hole area,27500.0,30000.0,,
220,11196530,Market area,27500.0,28100.0,,
221,11196530,Hole area,27500.0,30000.0,,
222,11196531,Market area,27500.0,28100.0,,
223,11196531,Hole area,27500.0,30000.0,,
224,11196532,Market area,27500.0,28100.0,,
225,11196532,Hole area,27500.0,30000.0,,
226,11196533,Market area,27500.0,28100.0,,
227,11196533,Hole area,27500.0,30000.0,,
228,11204111,MA2-56,27500.0,30000.0,,
229,11204111,MA2-57,27500.0,30000.0,,
230,11204111,MA2-58,27500.0,30000.0,,
231,11204111,MA2-59,27500.0,30000.0,,
232,11204111,MA2-60,27500.0,30000.0,,
233,11204111,MA2-61,27500.0,30000.0,,
234,11204111,MA2-62,27500.0,30000.0,,
235,11204111,MA2-63,27500.0,30000.0,,
236,11204111,MA2-64,27500.0,30000.0,,
237,11204111,MA2-65,27500.0,30000.0,,
238,11204111,MA2-66,27500.0,30000.0,,
239,11204111,MA2-67,27500.0,30000.0,,
240,11204111,MA2-68,27500.0,30000.0,,
241,11204111,MA2-69,27500.0,30000.0,,
242,11204111,MA2-70,27500.0,30000.0,,
243,11204111,MA2-71,27500.0,30000.0,,
244,11204111,MA2-72,27500.0,30000.0,,
245,11204111,MA2-73,27500.0,30000.0,,
246,11204111,MA2-74,27500.0,30000.0,,
247,11204111,MA2-75,27500.0,30000.0,,
248,11204111,MA2-76,27500.0,30000.0,,
249,11204111,MA2-77,27500.0,30000.0,,
250,11204111,MA2-78,27500.0,30000.0,,
251,11204111,MA2-79,27500.0,30000.0,,
252,11204111,MA2-80,27500.0,30000.0,,
253,11204111,MA2-81,27500.0,30000.0,,
254,11204111,MA2-82,27500.0,30000.0,,
255,11204111,MA2-83,27500.0,30000.0,,
256,11204111,MA2-84,27500.0,30000.0,,
257,11204111,MA2-85,27500.0,30000.0,,
258,11204111,MA2-86,27500.0,30000.0,,
259,11204111,MA2-87,27500.0,30000.0,,
